"品番","バーコード","品名","規格1","規格2","ロット","消費期限","在庫区分","総在庫数","在庫数","ロケーション"
"4959058091637","4959058091637","アルカリ電池 New Memorex 単1×2本 シュリンクパック","","","","","新品","247","247","C01-1"
"4959058091644","4959058091644","アルカリ電池 New Memorex単2×2本 シュリンクパック","","","","","新品","283","283","C01-1"
"4959058091651","4959058091651","アルカリ電池 New Memorex単3×4本 シュリンクパック","","","","","新品","900","900","A02-3"
"4961310128692","4961310128692","AT-SPB300 BK","","","","","新品","14","14","C01-4"
"4961310128708","4961310128708","AT-SPB300 OR","","","","","新品","12","12","C01-4"
"4964827405362","4964827405362","メラミンスポンジ ミニ","","","","","新品","90","90","A02-4"
"4964833410022","4964833410022","TERAOKA 養生用 P-カットテープα 50mm×25m 透明 No.4100","","","","","新品","30","30","B02-5"
"4964833410046","4964833410046","ポリエチレンクロス粘着テープ 品番4100 若葉","","","","","新品","60","60","B02-5"
"4967576492973","4967576492973","富士山の天然水500ml","","","","20250430","新品","3160","3160","K01-5"
"4967576493017","4967576493017","富士山の強炭酸水 500ml","","","","20240315","新品","5640","2760","K01-6"
"4967576592413","4967576592413","富士山の強炭酸水レモン500ml","","","","20240319","新品","6240","480","K02-3"
"4967736076678","4967736076678","ナガオカ 携帯平型プラグ変換アダプター KHA-01WH","","","","","新品","1","1","A02-1"
"4969887826553","4969887826553","雷ガードタップ（2P・3個口・5m）","","","","","新品","26","26","A02-3"
"4970381407834","4970381407834","ダイカットタオル おしりたんてい","","","","","新品","92","92","A02-4"
"4971381323643","4971381323643","くまもんのベビーパフ","","","","","新品","68","68","A01-5"
"4971381323858","4971381323858","くまもんの洗顔ネット","","","","","新品","119","119","A01-5"
"4971633171671","4971633171671","エルモア ｆｕｋｕｔセスキシート 20枚","","","","","新品","200","200","K02-1"
"4971633171718","4971633171718","エルモア ｆｕｋｕｔクエン酸シート 20枚","","","","","新品","308","308","K02-2"
"4971633300675","4971633300675","セラピティッシュー150Ｗ5Ｐ","","1250 g","","","新品","552","168","MK02-5"
"4977324713670","4977324713670","3Dクレンジングスポンジ PEAR ピンク","","","","","新品","11","11","C01-3"
"4977324713687","4977324713687","3Dクレンジングスポンジ FlatCutブルー","","","","","新品","50","50","A01-4"
"4977524153016","4977524153016","ココサスメタル ダイヤモンド CS?097","","","","","新品","438","438","C01-3"
"4977524153023","4977524153023","ココサスメタル ジュエル CS-098","","","","","新品","448","448","C01-3"
